mean_rr,median_hr,pnn20,pnn50,rmssd,sd1,sd1_sd2,sd2,sdnn,csi,cvi
1.5043265386144722,-1.6051144347010384,1.5122971029987997,1.6545409638332584,0.9369954510229294,1.0851354197555376,1.1334369281789283,1.2634512477710795,1.3696474084041868,-1.518237464524542,1.601754206292219
1.6456085501584121,-1.375402941037448,1.5759703836912602,1.5869765731972796,1.2071588352370282,1.507054109799596,0.9394044308688727,1.8145749051174953,1.3582861974830482,-1.4247197946801666,1.177449679529225
1.7784312727565943,-1.421211738651521,1.313096686156079,1.4699106320526898,1.5515255087627697,1.5062191456724268,1.1843039351920484,1.6080790790141997,2.109957570100057,-1.4557279651487824,1.2233211894955471
1.1702937992488385,-1.2611824598764514,1.5762629177441263,1.5039296900742483,1.2118942390959944,1.2057567516802954,1.2267734548714395,1.7522075920800733,1.5617023229418092,-1.4919904618515065,1.425749208717694
1.4481717127411144,-1.3436969693661431,1.5327409558532286,1.5521394532216382,1.5878043259566794,1.4310066672532,1.1622330115873485,1.7005565932035485,0.8756309584664799,-1.4435874355551566,1.234707044096685
1.222525491885612,-1.4462621622651326,1.6381075721942735,1.3965414984128464,1.6594107305646504,0.9890091249078368,1.0508181090010906,1.4844166858255434,1.5764739150863007,-1.2993045565687227,1.5783541714152909
1.3091785180524096,-1.4851442669566375,1.5304675673828325,1.4928811535150897,1.1041177323737073,1.127781612327249,0.9464446448217804,1.6386822582135785,1.424259447198886,-1.3022074668014334,1.2464327967633402
1.4606712158533803,-1.2591863287339118,1.3332031867790082,1.5854434688666597,1.2559992865685439,1.322269590179444,1.0424526118347903,0.8576844205370356,1.5424329527324727,-1.4645435746631943,1.3660144491678388
1.5568971048482114,-1.296375668573893,1.497921889580398,1.5061380547831433,1.3150502390520604,1.3938133289504444,0.8093406263553571,0.741769778328555,0.9217470853052862,-1.5384198818814494,1.471328686671691
1.1429060524466081,-1.467658754386177,1.6050342706965883,1.4693207024918933,1.6023060173584907,1.1781992202195888,1.073930729414198,0.9710825083090286,1.2591274978962643,-1.2812384991637649,0.8929014797755808
1.5430629119877244,-1.3397410403027117,1.2850746077019197,1.3136702994501852,1.43764913828005,1.280242901682355,1.1521551789156104,1.4194176969339616,1.92479204781909,-1.4323465885623803,1.08429415329645
1.4668639268534083,-1.3434252888485392,1.6151667152688316,1.6394795146611219,1.5081114728084772,1.7834342758250166,0.8983596767685613,1.114213371352425,1.0576105741900241,-1.4534039248997983,0.9882505065366723
1.603009359864635,-1.435271143174838,1.136929530926851,1.3751536639392135,1.4973822682383202,1.6255739648273795,1.4671240658891904,2.753530683944377,1.5175450969394926,-1.5373409829590128,0.7828431674460553
1.4932749513160113,-1.5579591986342356,1.3152885654773048,1.4327812399398734,1.3849597153156539,1.6831082135573523,1.1386519949768825,1.336157265352178,1.0201987932076546,-1.633232804821055,1.2303737226273048
1.3972619835286593,-1.0219304471497161,1.4074942093604528,1.660564601773496,1.296243899769071,1.1147380610524735,0.9382913322215789,1.0747831237815033,2.105437791775791,-1.5138067644593485,1.590629761866965
1.1436681609163841,-1.1956358914498877,1.4505316685937328,1.4978324048038973,1.4097128001707095,1.2486052583869158,1.190256660827838,1.1994487028301437,0.9550485766973511,-1.577704929528836,1.4095492345133815
